fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
entropy,top10,4,20,20,11.60,2.24,8,14,0.087416,0.114572,84.00,6.63,75.00,95.00,0.567619,0.058132,7.712831,2.175475,9.896560,0.602400,41.861469,1.818052
entropy,top10,8,40,20,15.20,4.12,11,22,0.574825,1.014508,89.00,5.83,80.00,95.00,0.664116,0.131746,5.496574,1.977044,9.636254,0.822865,41.832835,1.719298
entropy,top10,12,60,20,19.80,4.66,16,28,1.117989,1.336104,93.00,4.00,85.00,95.00,0.733008,0.073472,9.619315,2.845049,9.740470,1.123980,40.433904,1.421074
entropy,top30,1,5,20,6.20,2.48,2,9,0.000255,0.000097,81.00,4.90,75.00,85.00,0.638919,0.049206,6.797448,1.423071,9.185867,0.586780,42.860992,0.938898
entropy,top30,2,10,20,9.40,0.49,9,10,0.000619,0.000355,85.00,5.48,80.00,95.00,0.669937,0.145120,9.207722,1.529240,9.193852,0.269379,43.051697,1.075610
entropy,top30,4,20,20,13.20,1.83,10,15,0.072234,0.121490,80.00,6.32,70.00,85.00,0.571115,0.034930,7.370092,2.214494,9.653230,0.433440,42.319565,1.127111
entropy,top30,8,40,20,17.40,4.32,11,23,0.566419,1.018554,87.00,7.48,75.00,95.00,0.650483,0.105999,6.470203,2.688072,9.797899,0.499121,41.330053,2.080475
entropy,top30,12,60,20,21.40,4.18,16,28,1.077037,1.365166,92.00,6.00,85.00,100.00,0.711040,0.089079,10.104985,2.600033,9.814912,1.125624,41.304763,0.623500
entropy,top70,1,5,20,9.00,2.10,6,11,0.000119,0.000027,84.00,5.83,80.00,95.00,0.728334,0.115991,9.964991,3.475617,8.796953,0.852326,43.162672,0.390828
entropy,top70,2,10,20,11.60,0.80,11,13,0.000320,0.000063,87.00,6.78,75.00,95.00,0.738357,0.236711,10.113878,2.238546,9.062949,0.428704,43.168370,1.017764
entropy,top70,4,20,20,14.80,2.04,12,17,0.067034,0.123822,82.00,8.72,70.00,95.00,0.580019,0.053402,9.488824,1.532470,9.458169,1.076150,41.981124,1.818566
entropy,top70,8,40,20,19.60,5.20,11,26,0.544567,1.029317,89.00,8.00,75.00,95.00,0.670167,0.095021,7.845344,2.650508,9.591923,0.563289,40.645504,2.534280
entropy,top70,12,60,20,23.00,4.10,16,28,1.060655,1.376876,91.00,4.90,85.00,95.00,0.785403,0.121699,11.117651,2.836748,9.835122,0.967952,41.600259,0.341827
entropy,top90,1,5,20,10.60,1.85,8,13,0.000119,0.000021,84.00,6.63,75.00,95.00,0.727225,0.163843,10.494930,4.330047,9.204204,0.509794,43.510184,0.621458
entropy,top90,2,10,20,13.00,1.10,12,15,0.000280,0.000047,85.00,5.48,75.00,90.00,0.743553,0.248905,11.706575,1.850999,8.823324,0.858043,43.351233,1.218045
entropy,top90,4,20,20,16.20,2.23,13,18,0.067210,0.123852,85.00,8.94,75.00,95.00,0.571845,0.058604,9.985056,1.675026,9.323131,0.940476,41.906132,1.935188
entropy,top90,8,40,20,21.00,6.16,11,29,0.535247,1.033800,87.00,7.48,75.00,95.00,0.682799,0.145271,7.713791,3.537661,9.661600,0.840495,40.164646,2.928289
entropy,top90,12,60,20,24.60,4.54,16,28,1.050908,1.383816,91.00,4.90,85.00,95.00,0.746815,0.086162,11.652689,2.438587,9.776508,1.104559,40.946289,1.100914
