mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,entropy,top50,2,10,20,4,46,10,0.302186,90.00,1.007805,5.485932,7.040783,42.224873,0.0406,0.4062
both,symmetric,1.0,1.0,entropy,top50,2,10,20,5,47,10,0.165454,85.00,0.523355,7.172371,10.745317,42.606683,0.0437,0.4375
both,symmetric,1.0,1.0,entropy,top50,2,10,20,6,48,13,0.446762,85.00,0.859470,3.841701,8.177908,38.443048,0.0469,0.6094
both,symmetric,1.0,1.0,entropy,top50,2,10,20,7,49,6,0.143253,85.00,0.614668,8.260974,12.223192,39.545818,0.0547,0.3281
both,symmetric,1.0,1.0,entropy,top50,2,10,20,8,50,17,0.384542,85.00,0.633016,6.840916,4.963065,44.357909,0.0432,0.7344
both,symmetric,1.0,1.0,entropy,top50,2,10,20,9,51,25,0.580615,85.00,0.694883,7.025701,1.808858,44.444074,0.0444,1.1094
both,symmetric,1.0,1.0,entropy,top50,4,20,20,0,42,17,0.498292,95.00,0.782347,4.222974,4.804358,42.947640,0.0469,0.7969
both,symmetric,1.0,1.0,entropy,top50,4,20,20,1,43,13,0.544122,85.00,0.874163,5.916113,10.323115,42.959168,0.0409,0.5312
both,symmetric,1.0,1.0,entropy,top50,4,20,20,2,44,32,1.784681,95.00,1.044168,12.393135,1.118868,44.444236,0.0444,1.4219
both,symmetric,1.0,1.0,entropy,top50,4,20,20,3,45,21,0.729745,95.00,0.704830,7.701859,5.503462,44.120668,0.0417,0.8750
both,symmetric,1.0,1.0,entropy,top50,4,20,20,4,46,14,0.354611,95.00,0.776569,5.474380,8.489702,39.331033,0.0424,0.5938
both,symmetric,1.0,1.0,entropy,top50,4,20,20,5,47,14,0.397875,85.00,0.666587,5.000775,9.928922,40.684999,0.0446,0.6250
