network,optimizer,fitness_type,chance_temperature,utility_temperature,pct,n_decision_rules,total_rules,rep,seed,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
bypass,umda,regret,0.5,2.0,10,2,20,1,43,75.0,59.2,35.0,59.2,50,50,3.25
bypass,umda,regret,0.5,2.0,10,2,20,2,44,75.0,64.0,35.0,64.0,50,50,3.375
bypass,umda,regret,0.5,2.0,10,2,20,3,45,75.0,56.0,35.0,56.0,50,50,2.921875
bypass,umda,regret,0.5,2.0,10,2,20,4,46,95.0,78.6,65.0,78.6,50,50,2.65625
bypass,umda,regret,1.0,0.5,10,2,20,0,42,55.00000000000001,42.4,25.0,42.8125,48,50,2.734375
bypass,umda,regret,1.0,0.5,10,2,20,1,43,75.0,55.9,30.0,55.9,50,50,2.8125
bypass,umda,regret,1.0,0.5,10,2,20,2,44,85.0,70.7,55.00000000000001,70.7,50,50,2.78125
bypass,umda,regret,1.0,0.5,10,2,20,3,45,65.0,49.1,35.0,49.1,50,50,2.75
bypass,umda,regret,1.0,0.5,10,2,20,4,46,95.0,75.6,60.0,75.6,50,50,2.734375
bypass,umda,regret,1.0,1.0,10,2,20,0,42,60.0,44.9,30.0,45.10416666666666,48,50,2.65625
bypass,umda,regret,1.0,1.0,10,2,20,1,43,85.0,63.9,30.0,63.9,50,50,2.90625
bypass,umda,regret,1.0,1.0,10,2,20,2,44,85.0,69.8,50.0,69.8,50,50,2.75
bypass,umda,regret,1.0,1.0,10,2,20,3,45,75.0,54.4,45.0,54.4,50,50,2.703125
bypass,umda,regret,1.0,1.0,10,2,20,4,46,90.0,77.1,65.0,77.1,50,50,2.8125
bypass,umda,regret,1.0,2.0,10,2,20,0,42,75.0,59.9,45.0,59.9,50,50,2.5625
bypass,umda,regret,1.0,2.0,10,2,20,1,43,75.0,56.8,35.0,56.8,50,50,2.71875
bypass,umda,regret,1.0,2.0,10,2,20,2,44,85.0,73.8,55.00000000000001,73.8,50,50,2.53125
bypass,umda,regret,1.0,2.0,10,2,20,3,45,70.0,54.0,45.0,54.0,50,50,2.5625
bypass,umda,regret,1.0,2.0,10,2,20,4,46,90.0,73.8,55.00000000000001,73.8,50,50,2.71875
bypass,umda,regret,2.0,0.5,10,2,20,0,42,45.0,35.6,35.0,35.6,50,50,2.796875
bypass,umda,regret,2.0,0.5,10,2,20,1,43,85.0,56.4,45.0,56.4,50,50,2.796875
bypass,umda,regret,2.0,0.5,10,2,20,2,44,90.0,78.8,60.0,78.8,50,50,2.390625
bypass,umda,regret,2.0,0.5,10,2,20,3,45,75.0,62.6,45.0,62.6,50,50,2.71875
bypass,umda,regret,2.0,0.5,10,2,20,4,46,90.0,68.2,50.0,68.2,50,50,2.421875
bypass,umda,regret,2.0,1.0,10,2,20,0,42,50.0,38.4,35.0,38.4,50,50,2.671875
bypass,umda,regret,2.0,1.0,10,2,20,1,43,75.0,52.3,35.0,52.3,50,50,2.578125
bypass,umda,regret,2.0,1.0,10,2,20,2,44,85.0,76.9,65.0,76.9,50,50,2.640625
bypass,umda,regret,2.0,1.0,10,2,20,3,45,65.0,48.7,35.0,48.7,50,50,2.515625
bypass,umda,regret,2.0,1.0,10,2,20,4,46,95.0,72.0,50.0,72.0,50,50,2.453125
