network,optimizer,pct,stop_mode,rep,seed,acc
bypass,egna,10,top90,0,42,65.0
bypass,egna,10,top90,0,42,50.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,70.0
bypass,egna,10,top90,0,42,65.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,65.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,75.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,65.0
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,35.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,65.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,45.0
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,0,42,55.00000000000001
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,70.0
bypass,egna,10,top90,1,43,60.0
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,85.0
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,95.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,60.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,70.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,80.0
