net,optimizer,fitness_type,rules_pct,n_train_rules,noise,n_noisy_rules,n_correct_rules,rep,seed,size_gen,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,emna,regret,20,4,0.0,0,4,9,51,50,20,13,95.0,64.8,0.8818829856733886,21.43137895803698,1.203125
bypass2,emna,regret,20,4,0.25,1,3,0,42,50,20,29,80.0,58.2,0.5539494419457701,6.5604311129468265,1.96875
bypass2,emna,regret,20,4,0.25,1,3,1,43,50,20,10,75.0,48.0,0.6178365174139379,9.550119919415089,0.703125
bypass2,emna,regret,20,4,0.25,1,3,2,44,50,20,23,100.0,84.8,1.3373427706859902,33.411487436200154,1.6875
bypass2,emna,regret,20,4,0.25,1,3,3,45,50,20,9,85.0,53.7,1.005801456193398,5.492965185561708,0.5625
bypass2,emna,regret,20,4,0.25,1,3,4,46,50,20,14,75.0,55.8,0.5008472238250967,6.860117229009732,0.984375
bypass2,emna,regret,20,4,0.25,1,3,5,47,50,20,14,75.0,52.1,0.5397231479595102,7.40904750736832,0.890625
bypass2,emna,regret,20,4,0.25,1,3,6,48,50,20,12,85.0,62.0,0.5986369384779816,2.921566159744578,0.890625
bypass2,emna,regret,20,4,0.25,1,3,7,49,50,20,6,75.0,52.9,0.6793448643052156,4.03691741947163,0.390625
bypass2,emna,regret,20,4,0.25,1,3,8,50,50,20,22,100.0,63.8,0.7606940491998162,21.573048912420916,1.484375
bypass2,emna,regret,20,4,0.25,1,3,9,51,50,20,18,100.0,85.7,1.1501522209502564,24.177190026788647,1.4375
bypass2,emna,regret,20,4,0.5,2,2,0,42,50,20,44,65.0,40.4,0.7002211515480038,4.539273605719588,2.9375
bypass2,emna,regret,20,4,0.5,2,2,1,43,50,20,11,75.0,48.3,0.6510447931658662,8.935666900094837,0.765625
bypass2,emna,regret,20,4,0.5,2,2,2,44,50,20,22,100.0,81.4,1.3471159117472713,34.75145265079555,1.484375
bypass2,emna,regret,20,4,0.5,2,2,3,45,50,20,24,95.0,62.9,1.0711939558552577,4.666050893034854,1.546875
