net,optimizer,fitness_type,noise,rep,seed,size_gen,n_noisy_rules,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,umda,binary,0.3,7,49,50,6,20,60,75.0,72.8,0.9233446007411846,14.173106309761174,6.75
bypass2,umda,binary,0.3,8,50,50,6,20,60,75.0,67.6,0.876774509688358,8.719813080589828,6.796875
bypass2,umda,binary,0.3,9,51,50,6,20,60,75.0,75.0,0.8464566786535334,12.193447895586226,6.765625
bypass2,umda,binary,0.4,0,42,50,8,20,60,70.0,61.9,1.23226225027974,10.945933951133393,6.828125
bypass2,umda,binary,0.4,1,43,50,8,20,60,65.0,58.5,1.0226739051438558,23.102272048093226,6.625
bypass2,umda,binary,0.4,2,44,50,8,20,60,75.0,64.4,0.60315084571989,25.520175062304475,6.65625
bypass2,umda,binary,0.4,3,45,50,8,20,60,65.0,64.8,0.9654491193767742,9.578522949021599,6.6875
bypass2,umda,binary,0.4,4,46,50,8,20,60,65.0,54.7,1.1289042167685188,8.043607035409494,6.671875
bypass2,umda,binary,0.4,5,47,50,8,20,60,50.0,45.3,1.6256091273752569,11.314569246434568,6.59375
bypass2,umda,binary,0.4,6,48,50,8,20,60,60.0,50.5,1.55333819203222,13.515217375256682,6.859375
bypass2,umda,binary,0.4,7,49,50,8,20,60,70.0,62.6,0.7111543551127507,10.492434503689623,6.625
bypass2,umda,binary,0.4,8,50,50,8,20,60,65.0,51.4,0.8454752766321196,8.706895723004832,6.65625
bypass2,umda,binary,0.4,9,51,50,8,20,60,75.0,68.8,0.9175340238991452,10.965811531247308,6.84375
bypass2,umda,binary,0.5,0,42,50,10,20,60,55.00000000000001,44.9,1.2383950536558013,8.489962657734642,6.515625
bypass2,umda,binary,0.5,1,43,50,10,20,60,55.00000000000001,54.6,0.7943423795511518,20.143867081744382,6.703125
bypass2,umda,binary,0.5,2,44,50,10,20,60,75.0,65.6,1.1003911213665036,14.654945060472645,6.515625
bypass2,umda,binary,0.5,3,45,50,10,20,60,65.0,50.0,0.6304163016722898,7.1740327207155445,6.765625
bypass2,umda,binary,0.5,4,46,50,10,20,60,65.0,58.0,1.113277365800857,8.433756052862893,6.8125
bypass2,umda,binary,0.5,5,47,50,10,20,60,65.0,51.3,1.3015665087183677,12.654465917146473,6.59375
bypass2,umda,binary,0.5,6,48,50,10,20,60,65.0,56.5,1.3372071711558458,16.625692138014166,6.59375
bypass2,umda,binary,0.5,7,49,50,10,20,60,55.00000000000001,55.00000000000001,0.6978890036587363,8.129509409767488,6.859375
