network,optimizer,mode,pct,n_decision_rules,total_rules,stop_mode,rep,seed,pop_size,n_satisfiers,frac_satisfiers,sat_acc_mean,sat_acc_std,sat_acc_best,sat_acc_worst,pop_acc_mean,pop_acc_best,pop_acc_worst,best_fitness,stop_generation,cpu_total
bypass,umda,both,20,4,20,top90,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.203125
bypass,umda,both,20,4,20,top90,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.171875
bypass,umda,both,20,4,20,top90,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top90,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.171875
bypass,umda,both,20,4,20,top90,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top90,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.203125
bypass,umda,both,20,4,20,top90,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.125
bypass,umda,both,20,4,20,top90,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.203125
bypass,umda,both,30,6,20,top10,0,42,50,48,0.96,71.875,7.403898184965358,80.0,55.00000000000001,71.4,80.0,55.00000000000001,0.0,50,2.125
bypass,umda,both,30,6,20,top10,1,43,50,50,1.0,73.6,7.418894796396563,85.0,55.00000000000001,73.6,85.0,55.00000000000001,0.0,50,2.140625
bypass,umda,both,30,6,20,top10,2,44,50,50,1.0,72.0,7.54983443527075,95.0,55.00000000000001,72.0,95.0,55.00000000000001,0.0,50,2.21875
bypass,umda,both,30,6,20,top10,3,45,50,50,1.0,69.0,6.633249580710798,75.0,55.00000000000001,69.0,75.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,30,6,20,top10,4,46,50,50,1.0,74.2,7.236021006050217,95.0,60.0,74.2,95.0,60.0,0.0,50,2.234375
bypass,umda,both,30,6,20,top10,5,47,50,50,1.0,73.2,4.331281565541543,85.0,65.0,73.2,85.0,65.0,0.0,50,2.171875
bypass,umda,both,30,6,20,top10,6,48,50,50,1.0,84.6,1.9595917942265424,85.0,75.0,84.6,85.0,75.0,0.0,50,2.21875
bypass,umda,both,30,6,20,top10,7,49,50,50,1.0,76.1,3.645545226711637,85.0,65.0,76.1,85.0,65.0,0.0,50,2.234375
bypass,umda,both,30,6,20,top10,8,50,50,49,0.98,78.06122448979592,5.4225837777903765,95.0,75.0,78.3,95.0,75.0,0.0,50,2.203125
bypass,umda,both,30,6,20,top10,9,51,50,0,0.0,,,,,56.8,70.0,45.0,1.0,100,4.546875
bypass,umda,both,30,6,20,top30,0,42,50,48,0.96,71.875,7.403898184965358,80.0,55.00000000000001,71.4,80.0,55.00000000000001,0.0,50,2.265625
bypass,umda,both,30,6,20,top30,1,43,50,50,1.0,73.6,7.418894796396563,85.0,55.00000000000001,73.6,85.0,55.00000000000001,0.0,50,2.234375
bypass,umda,both,30,6,20,top30,2,44,50,50,1.0,72.0,7.54983443527075,95.0,55.00000000000001,72.0,95.0,55.00000000000001,0.0,50,2.3125
