mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,softmax,top50,1,5,7,0.393135,54.02,1.583182,15.087846,11.429028,32.788334
both,non_symmetric,1.0,1.0,softmax,top50,1,5,8,0.275668,52.88,1.525192,15.035357,10.928251,33.026222
both,non_symmetric,1.0,1.0,softmax,top50,1,5,9,0.228108,53.46,1.520364,15.786743,10.729588,32.775356
both,non_symmetric,1.0,1.0,softmax,top50,1,5,10,0.246310,52.72,1.508832,15.677603,10.449224,33.039816
both,non_symmetric,1.0,1.0,softmax,top50,1,5,11,0.251766,53.38,1.477308,15.667472,10.255018,33.039865
both,non_symmetric,1.0,1.0,softmax,top50,2,10,1,2.829829,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,softmax,top50,2,10,2,2.041022,51.40,1.444610,15.895664,13.170329,32.968024
both,non_symmetric,1.0,1.0,softmax,top50,2,10,3,1.997258,52.96,1.438231,14.978172,13.067202,31.713741
both,non_symmetric,1.0,1.0,softmax,top50,2,10,4,1.859374,53.52,1.506085,15.053105,12.329413,31.399334
both,non_symmetric,1.0,1.0,softmax,top50,2,10,5,1.525555,53.96,1.553699,14.314467,11.449551,31.413110
both,non_symmetric,1.0,1.0,softmax,top50,2,10,6,1.321240,54.98,1.583524,14.413871,11.023908,32.157481
both,non_symmetric,1.0,1.0,softmax,top50,2,10,7,1.330778,55.18,1.687757,14.343922,10.558904,31.337843
both,non_symmetric,1.0,1.0,softmax,top50,2,10,8,0.899948,56.30,1.707254,14.595691,10.063059,32.502465
both,non_symmetric,1.0,1.0,softmax,top50,2,10,9,1.117483,55.38,1.661102,15.552277,9.625992,32.473779
both,non_symmetric,1.0,1.0,softmax,top50,2,10,10,0.955304,58.50,1.647607,14.993290,9.370027,32.847019
both,non_symmetric,1.0,1.0,softmax,top50,2,10,11,0.751149,56.98,1.685563,15.553186,8.759040,33.538163
both,non_symmetric,1.0,1.0,softmax,top50,2,10,12,0.693671,58.56,1.746072,15.532588,8.406473,34.288431
both,non_symmetric,1.0,1.0,softmax,top50,2,10,13,0.652704,59.56,1.758265,15.748583,8.049885,34.449127
both,non_symmetric,1.0,1.0,softmax,top50,2,10,14,0.565137,60.00,1.761139,16.789131,7.904379,35.411370
both,non_symmetric,1.0,1.0,softmax,top50,2,10,15,0.480900,59.86,1.766899,17.254899,7.606258,35.702836
both,non_symmetric,1.0,1.0,softmax,top50,2,10,16,0.535283,60.62,1.758109,17.070122,7.483930,35.540312
both,non_symmetric,1.0,1.0,softmax,top50,2,10,17,0.507309,60.28,1.786018,17.066134,7.296266,35.609652
both,non_symmetric,1.0,1.0,softmax,top50,2,10,18,0.783710,60.56,1.807359,16.851341,7.239351,35.848724
both,non_symmetric,1.0,1.0,softmax,top50,2,10,19,0.542142,59.78,1.791332,16.877480,7.126240,35.908876
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,0.628635,60.84,1.781811,17.008530,7.026386,35.771245
both,non_symmetric,1.0,1.0,softmax,top50,2,10,21,0.678558,61.18,1.770916,17.306693,7.052287,36.048012
both,non_symmetric,1.0,1.0,softmax,top50,2,10,22,0.641675,60.80,1.778072,17.005436,7.025023,35.720637
both,non_symmetric,1.0,1.0,softmax,top50,2,10,23,0.683019,61.16,1.804264,17.498432,6.960787,35.722133
both,non_symmetric,1.0,1.0,softmax,top50,2,10,24,0.626026,61.10,1.858464,17.611247,6.914093,35.779426
both,non_symmetric,1.0,1.0,softmax,top50,4,20,1,5.674805,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,softmax,top50,4,20,2,5.100682,50.02,1.395714,16.125217,13.226581,32.684256
both,non_symmetric,1.0,1.0,softmax,top50,4,20,3,4.580118,51.16,1.430593,14.949674,12.997343,31.390629
both,non_symmetric,1.0,1.0,softmax,top50,4,20,4,4.207385,52.64,1.461496,15.482889,12.107014,31.712061
both,non_symmetric,1.0,1.0,softmax,top50,4,20,5,3.841055,53.40,1.465843,15.040383,11.089952,31.878143
both,non_symmetric,1.0,1.0,softmax,top50,4,20,6,3.694991,54.38,1.418024,15.900747,10.434628,32.311568
both,non_symmetric,1.0,1.0,softmax,top50,4,20,7,3.764761,54.40,1.494014,15.553598,9.424247,31.554469
both,non_symmetric,1.0,1.0,softmax,top50,4,20,8,3.699750,56.86,1.559434,16.030170,8.831843,32.779017
both,non_symmetric,1.0,1.0,softmax,top50,4,20,9,3.757664,55.18,1.690504,15.614629,8.021218,32.573128
both,non_symmetric,1.0,1.0,softmax,top50,4,20,10,3.367391,57.56,1.652918,15.870748,7.309506,33.359457
both,non_symmetric,1.0,1.0,softmax,top50,4,20,11,3.672519,56.62,1.671588,15.895113,6.625713,33.992431
both,non_symmetric,1.0,1.0,softmax,top50,4,20,12,2.913871,55.80,1.640705,16.200904,6.176791,34.197785
both,non_symmetric,1.0,1.0,softmax,top50,4,20,13,3.049319,56.56,1.605071,16.413384,5.592108,34.029060
both,non_symmetric,1.0,1.0,softmax,top50,4,20,14,2.842640,58.22,1.726169,16.254854,5.028880,35.081059
