fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,generation,mean_fitness,mean_accuracy,mean_error,fitness_std,accuracy_std
regret,top90,2,10,,,,,15,0.121922,56.61,,0.054467,2.79
regret,top90,2,10,,,,,16,0.116735,56.67,,0.047141,2.82
regret,top90,2,10,,,,,17,0.130461,56.5,,0.06827,2.75
regret,top90,2,10,,,,,18,0.108529,56.72,,0.038527,2.84
regret,top90,4,20,,,,,1,5.092792,50.12,,0.4404,1.07
regret,top90,4,20,,,,,2,4.380768,51.72,,0.213247,1.27
regret,top90,4,20,,,,,3,4.03378,50.4,,0.580971,1.13
regret,top90,4,20,,,,,4,3.377216,52.62,,0.134904,0.88
regret,top90,4,20,,,,,5,3.081014,52.09,,0.636012,1.31
regret,top90,4,20,,,,,6,2.96979,52.94,,0.454065,1.56
regret,top90,4,20,,,,,7,2.320917,53.29,,0.434513,1.41
regret,top90,4,20,,,,,8,2.033978,54.8,,0.755058,3.7
regret,top90,4,20,,,,,9,1.664398,56.56,,0.473512,3.58
regret,top90,4,20,,,,,10,1.186452,58.17,,0.618438,4.29
regret,top90,4,20,,,,,11,0.961838,58.86,,0.492851,3.96
regret,top90,4,20,,,,,12,0.709476,60.01,,0.347158,3.27
regret,top90,4,20,,,,,13,0.483345,61.16,,0.278453,3.56
regret,top90,4,20,,,,,14,0.377504,62.66,,0.219625,3.23
regret,top90,4,20,,,,,15,0.216777,63.67,,0.127501,2.45
regret,top90,4,20,,,,,16,0.256569,63.83,,0.175878,2.37
regret,top90,4,20,,,,,17,0.108126,64.4,,0.043803,2.22
regret,top90,4,20,,,,,18,0.11894,64.4,,0.053982,2.86
regret,top90,4,20,,,,,19,0.126237,64.74,,0.064231,3.28
regret,top90,4,20,,,,,20,0.087658,65.1,,0.050478,3.8
regret,top90,4,20,,,,,21,0.091267,65.19,,0.046806,3.94
regret,top90,4,20,,,,,22,0.101738,65.25,,0.041761,4.04
regret,top90,6,30,,,,,1,7.352662,50.06,,0.573771,1.55
regret,top90,6,30,,,,,2,6.59624,49.49,,0.745881,2.04
regret,top90,6,30,,,,,3,5.989978,51.52,,0.861636,1.76
regret,top90,6,30,,,,,4,5.566011,51.02,,0.355417,0.78
regret,top90,6,30,,,,,5,4.940145,53.05,,0.320755,1.9
regret,top90,6,30,,,,,6,4.306436,53.47,,0.448991,2.0
regret,top90,6,30,,,,,7,3.874461,54.71,,0.539342,1.61
regret,top90,6,30,,,,,8,3.076048,56.08,,1.076131,4.16
regret,top90,6,30,,,,,9,2.666738,56.4,,0.712392,3.53
regret,top90,6,30,,,,,10,2.000997,57.33,,0.725106,3.01
regret,top90,6,30,,,,,11,1.752159,58.84,,0.701345,3.32
regret,top90,6,30,,,,,12,1.210038,59.92,,0.466782,4.69
regret,top90,6,30,,,,,13,0.939619,61.3,,0.517056,3.84
regret,top90,6,30,,,,,14,0.73671,62.91,,0.431862,4.29
regret,top90,6,30,,,,,15,0.467037,64.51,,0.292286,5.06
regret,top90,6,30,,,,,16,0.324903,64.52,,0.220028,5.55
regret,top90,6,30,,,,,17,0.251052,66.61,,0.20464,5.32
regret,top90,6,30,,,,,18,0.179518,67.49,,0.130243,6.12
regret,top90,6,30,,,,,19,0.135995,67.33,,0.096096,5.5
regret,top90,6,30,,,,,20,0.091427,67.41,,0.066388,6.38
regret,top90,6,30,,,,,21,0.068456,68.13,,0.043681,6.04
regret,top90,6,30,,,,,22,0.071457,68.51,,0.045674,5.94
regret,top90,6,30,,,,,23,0.068245,68.89,,0.043568,5.93
regret,top90,8,40,,,,,1,9.732802,50.42,,0.683553,1.66
regret,top90,8,40,,,,,2,8.42916,50.6,,0.588337,1.48
regret,top90,8,40,,,,,3,7.937582,50.69,,1.023054,2.51
regret,top90,8,40,,,,,4,7.07305,50.42,,0.802181,2.04
regret,top90,8,40,,,,,5,6.670364,51.99,,0.898591,2.57
regret,top90,8,40,,,,,6,5.48594,52.84,,0.448439,1.58
regret,top90,8,40,,,,,7,4.884467,54.41,,0.49016,2.03
regret,top90,8,40,,,,,8,3.828971,55.02,,0.381553,3.91
regret,top90,8,40,,,,,9,3.038163,55.77,,0.629575,3.78
regret,top90,8,40,,,,,10,2.365538,57.51,,0.491452,4.65
regret,top90,8,40,,,,,11,1.775807,57.36,,0.436225,5.49
regret,top90,8,40,,,,,12,1.427416,57.85,,0.320781,5.65
regret,top90,8,40,,,,,13,1.146192,58.22,,0.284225,6.57
regret,top90,8,40,,,,,14,0.566285,59.71,,0.213179,8.24
regret,top90,8,40,,,,,15,0.462272,60.19,,0.252675,6.41
regret,top90,8,40,,,,,16,0.350084,61.72,,0.158165,7.61
regret,top90,8,40,,,,,17,0.222245,62.92,,0.128359,8.89
regret,top90,8,40,,,,,18,0.215685,63.44,,0.15127,8.23
regret,top90,8,40,,,,,19,0.155372,64.43,,0.113112,8.94
regret,top90,8,40,,,,,20,0.147489,65.75,,0.162918,8.56
regret,top90,8,40,,,,,21,0.069072,66.0,,0.063629,8.98
regret,top90,8,40,,,,,22,0.089563,67.66,,0.04749,8.53
regret,top90,8,40,,,,,23,0.062844,67.52,,0.039331,8.44
regret,top90,8,40,,,,,24,0.058805,67.96,,0.044009,8.74
binary,top10,1,5,,,,,1,0.506,50.21,,0.048415,1.76
binary,top10,2,10,,,,,1,1.004,50.36,,0.032,0.76
binary,top10,4,20,,,,,1,1.908,50.32,,0.117541,0.49
binary,top10,4,20,,,,,2,1.876,49.74,,0.109289,0.84
binary,top10,4,20,,,,,3,1.834,50.15,,0.101311,0.83
binary,top10,6,30,,,,,1,3.072,49.67,,0.253882,0.5
binary,top10,6,30,,,,,2,2.886,51.29,,0.122898,1.75
binary,top10,6,30,,,,,3,2.726,52.48,,0.090907,2.27
binary,top10,6,30,,,,,4,2.542,53.51,,0.124161,1.47
binary,top10,6,30,,,,,5,2.274,55.58,,0.230096,1.79
binary,top10,6,30,,,,,6,2.194,56.74,,0.30761,2.9
binary,top10,6,30,,,,,7,2.122,57.29,,0.416577,3.81
binary,top10,8,40,,,,,1,4.012,50.89,,0.092607,1.26
binary,top10,8,40,,,,,2,3.81,52.31,,0.074833,0.78
binary,top10,8,40,,,,,3,3.698,52.44,,0.244082,1.75
binary,top10,8,40,,,,,4,3.422,53.91,,0.321335,1.42
binary,top10,8,40,,,,,5,3.164,55.3,,0.451779,1.83
binary,top10,8,40,,,,,6,2.73,59.24,,0.307701,1.59
binary,top10,8,40,,,,,7,2.588,60.15,,0.276362,1.7
binary,top10,8,40,,,,,8,2.542,60.01,,0.216647,1.94
binary,top30,1,5,,,,,1,0.472,51.5,,0.048332,0.96
binary,top30,2,10,,,,,1,1.016,50.31,,0.076577,0.79
binary,top30,2,10,,,,,2,0.982,50.31,,0.151314,1.53
binary,top30,2,10,,,,,3,0.916,50.76,,0.129707,1.34
binary,top30,4,20,,,,,1,2.096,49.07,,0.069742,0.98
binary,top30,4,20,,,,,2,1.852,51.18,,0.102255,1.26
binary,top30,4,20,,,,,3,1.778,51.58,,0.205368,2.35
binary,top30,4,20,,,,,4,1.67,52.04,,0.176068,1.16
binary,top30,4,20,,,,,5,1.48,53.04,,0.219545,2.66
binary,top30,4,20,,,,,6,1.336,54.69,,0.221233,4.11
binary,top30,4,20,,,,,7,1.172,56.21,,0.217108,3.9
binary,top30,4,20,,,,,8,1.084,56.72,,0.095833,3.67
binary,top30,4,20,,,,,9,1.034,56.72,,0.125952,3.5
binary,top30,4,20,,,,,10,1.032,56.51,,0.123677,3.69
binary,top30,4,20,,,,,11,0.988,57.04,,0.104384,3.3
binary,top30,6,30,,,,,1,3.1,48.97,,0.068993,1.42
binary,top30,6,30,,,,,2,2.962,50.04,,0.17893,1.37
binary,top30,6,30,,,,,3,2.632,52.05,,0.15715,1.7
binary,top30,6,30,,,,,4,2.498,53.24,,0.279528,1.82
binary,top30,6,30,,,,,5,2.066,57.63,,0.192208,2.39
