mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
utility_only,symmetric,1.0,1.0,regret,top50,4,20,20,1.40,0.49,1,2,0.070754,0.044129,100.00,0.00,100.00,100.00,0.000000,0.000000,6.695166,1.932907,18.825307,0.000000,43.744319,0.468502
utility_only,symmetric,1.0,1.0,regret,top50,8,40,20,1.60,0.80,1,3,0.133566,0.093846,100.00,0.00,100.00,100.00,0.000000,0.000000,6.780404,1.855910,18.825307,0.000000,43.811984,0.533547
utility_only,symmetric,1.0,1.0,entropy,top50,1,5,20,22.80,6.40,14,30,0.412854,0.065076,96.00,2.00,95.00,100.00,0.000000,0.000000,22.302989,5.834197,18.825307,0.000000,43.956412,0.975904
utility_only,symmetric,1.0,1.0,entropy,top50,2,10,20,23.60,5.39,18,33,0.838545,0.168794,96.00,2.00,95.00,100.00,0.000000,0.000000,13.721728,1.985915,18.825307,0.000000,43.395713,1.726047
utility_only,symmetric,1.0,1.0,entropy,top50,4,20,20,23.40,3.83,19,30,1.775574,0.431878,96.00,2.00,95.00,100.00,0.000000,0.000000,14.983717,6.554758,18.825307,0.000000,44.405592,0.061197
utility_only,symmetric,1.0,1.0,entropy,top50,8,40,20,23.80,4.40,18,30,3.358460,0.688456,96.00,2.00,95.00,100.00,0.000000,0.000000,16.842610,5.936324,18.825307,0.000000,44.260868,0.352696
chance_only,non_symmetric,1.0,1.0,binary,top50,1,5,20,0.60,0.49,0,1,nan,nan,nan,nan,85.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,binary,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,binary,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,binary,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,1,5,20,0.60,0.49,0,1,nan,nan,nan,nan,85.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,entropy,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
